gene	conMean	treatMean	logFC	pValue	fdr
ATP1B3-AS1	0.26829781415625	0.787432525920382	1.5533210052206	4.6817278507799e-07	3.0294990272507e-06
AC084018.1	0.33563572978125	0.758771078124204	1.17676838429695	0.00020690176740278	0.000603916137311694
AC008764.6	0.131719990625	0.275842823984076	1.06637213506755	2.18029075064788e-05	8.22992465445172e-05
LINC01315	2.5157644026875	1.03198906776752	-1.28556913460687	6.55894741355355e-12	1.59343800377602e-10
AL590666.2	0.22866452446875	1.28723291255414	2.49296865387324	1.05529373305552e-06	5.97511220151343e-06
AC011462.4	0.120621069375	0.275274799735669	1.19039061255419	0.00129640132441154	0.00307863848496177
AL355488.1	0.19796357534375	0.494341230073248	1.32027223463055	1.21186541538814e-05	5.07572398294416e-05
MIR9-3HG	0.10549156628125	0.822726245251592	2.96328480209852	6.72644296730314e-07	4.05243337389741e-06
AC006305.1	0.0810355743125	0.286769252742038	1.82326305741381	0.0154896697169786	0.0269471779002345
LINC00942	0.14549103890625	0.974894732449045	2.74431615010208	0.00537411927288501	0.0107223176621065
LINC00659	0.0525114908125	0.319833753566879	2.60661714149349	4.94417198482503e-06	2.29717437544766e-05
DYRK3-AS1	0.0741449366875	0.214915437617834	1.53534903650477	9.83424364798927e-06	4.28797943941736e-05
AC136475.3	0.257731985625	1.23468866807325	2.26020380810812	1.80259280500701e-07	1.29680647089622e-06
AC060766.3	0.47318486996875	0.951362973366242	1.0075919329197	4.94510481127068e-05	0.000171327568957055
BX470102.1	0.446173328375	1.12440122120064	1.3334807467716	7.35860981834525e-06	3.24894577900225e-05
AL354733.3	0.263164268	0.539829708729299	1.03654075990294	7.06534038261939e-05	0.000231040408768543
AL078644.1	0.16690321490625	0.601466779687898	1.84947331212915	6.22423830632152e-14	3.17176810359634e-12
LINC01357	0.06521423625	0.539215217509554	3.04760236835506	3.66075858824605e-10	5.52729352274681e-09
ZKSCAN2-DT	0.096618238125	0.251472736098726	1.3800345459863	4.87174985801651e-06	2.27410308257794e-05
AC093159.1	3.14540245415625	0.582566234617834	-2.43275063090735	3.38513105450799e-06	1.6898021549646e-05
BAALC-AS1	0.2808003614375	0.74269620572293	1.40322741527086	2.27880669390975e-07	1.61097143737088e-06
SNHG26	0.56405775865625	1.53208198957006	1.44157870026654	4.74502390765097e-09	4.79600350335301e-08
LINC01614	0.03954497065625	2.44132105459236	5.9480240002186	6.58118203969685e-15	4.23620296555224e-13
AC026333.4	0.10110872009375	0.225934341449045	1.15999614595553	0.0142770159272885	0.0250154591390743
TYMSOS	0.47901341125	1.20570972740764	1.3317446689209	0.000181962370321529	0.000538837721315327
CYTOR	1.7092471095	4.32797580375796	1.34033144797812	1.83575316600336e-09	2.17973409905059e-08
MIR924HG	0.195467469125	0.416048697464968	1.08982387661402	0.0134318584154065	0.0236702634611558
MIR17HG	0.106442353125	0.243763037888535	1.19540707524932	4.09942427744271e-05	0.000145321620038042
AL109936.2	0.53843976265625	0.230241248786624	-1.22563863178218	1.85565062286706e-08	1.65654066552293e-07
LINC01475	0.4697254735625	0.172634075464968	-1.44410057442357	5.60391907522497e-08	4.47947256797395e-07
PDE2A-AS2	0.13815623903125	0.643438584461783	2.21950173665017	8.423018370954e-08	6.47883740105455e-07
AC005291.2	0.03416811490625	0.224008721200637	2.71283234102963	7.01424749970349e-05	0.000229984576196712
AC098487.1	0.2790286491875	0.601808122098726	1.10889031968172	4.78622131887003e-06	2.25136487422233e-05
SLC12A5-AS1	0.0183448729375	0.221225463818471	3.59206863717221	2.98277581054488e-16	3.64793481629639e-14
AC068338.3	0.5840752850625	0.26901289338535	-1.11847901829147	2.05619437628352e-07	1.46204983848532e-06
LINC01305	0.0186993759375	0.229011682273885	3.61435916618486	0.000659889101060979	0.00167436591410286
MIR23AHG	4.9222743119375	10.6633893639013	1.11526910769984	1.22221482384298e-05	5.10159975959032e-05
VPS9D1-AS1	2.7777249288125	5.77759818185987	1.05656613150776	3.23116389326317e-05	0.000116569718037193
AC007991.2	0.04732699415625	0.649198087035032	3.77792354746819	2.08863325977713e-06	1.10580020636685e-05
AC006206.2	0.2411084558125	0.694748081136943	1.5268076967981	1.54772374844763e-05	6.16568776661711e-05
AC232271.1	0.11778509534375	0.25897030994586	1.13662971688278	5.5249087777415e-05	0.000188742230006875
KCNJ2-AS1	0.6825245793125	0.292955907175159	-1.22019746100126	0.000256548810136446	0.000729672546039241
DLEU2	0.32551490115625	0.842828036707006	1.37251471883726	1.80523456028942e-12	5.38488260300966e-11
AC106795.2	0.76189355215625	0.364478241853503	-1.06375675287948	2.83328045588925e-07	1.92505666530697e-06
AP000251.1	0.21458845340625	0.58093971878344	1.4368160206033	0.00148280324118596	0.00346743473034499
LINC01711	0.0765421028125	0.470235486535032	2.61905797545361	2.5330874667227e-10	4.13062129573582e-09
LINC00839	0.34300527196875	2.0747713513949	2.59664969829536	5.52491564533615e-05	0.000188742230006875
LINC00519	0.8217116715	5.07840537884076	2.62767139743012	3.24389131775948e-11	7.21323469385426e-10
FGF14-AS2	1.2517419525	0.531231180601911	-1.23652544707141	2.33262354971069e-09	2.7430755781694e-08
RBMS3-AS3	0.48241628025	0.23955688983121	-1.00991028810043	0.00035222065767066	0.000970193388133372
HOXC-AS1	0.0769163406875	0.455992969684713	2.56764954879594	3.90840310737912e-12	1.0170163830478e-10
AC104758.1	0.137588790125	0.383144058952229	1.47752400233637	1.47596847979251e-09	1.92032920296408e-08
GRASLND	0.03703616496875	0.331609101595541	3.16247698183017	2.07754314293593e-16	2.82315029312294e-14
AC092614.1	0.1190549241875	0.300362748808917	1.33507860730436	1.5272828970894e-07	1.11182558520258e-06
YEATS2-AS1	0.07276291234375	0.215613912646497	1.56717507876494	1.73356736828953e-09	2.1201528914181e-08
ABALON	0.16162239365625	0.378528773283439	1.22777586349219	5.0169640549391e-09	4.98841222698416e-08
USP30-AS1	0.79076556215625	1.66043125078662	1.07023604193563	0.0100242458462121	0.0182979890595782
HOXA10-AS	0.0122087080625	0.241879547550955	4.3083063393576	1.25255940745219e-16	1.91485019414254e-14
LINC01775	0.09206064175	0.33966864372293	1.8834716383018	1.64899875647555e-09	2.07909843213361e-08
AC015922.2	4.86511609990625	1.91444108299363	-1.34555097165903	0.000621692018286007	0.00159733054278106
AC015911.3	0.12415389725	0.267590753423567	1.10789871552202	0.00686634711790985	0.013182955298593
LINC02725	0.0078051009375	0.379621370847134	5.60400011155937	5.34615986609444e-05	0.000183896492758913
KDM4A-AS1	0.14825931765625	0.492966133605096	1.73336576126169	6.64475373610607e-12	1.59343800377602e-10
AL513327.1	0.091800276875	0.252148065213376	1.45770074521588	2.61346301225109e-09	2.98716379811503e-08
DLGAP1-AS2	0.2245561029375	0.758889712340764	1.75681430548683	1.65772362965523e-08	1.5017748141247e-07
AC106782.5	0.25225062840625	0.526560861751592	1.06174242926741	1.88822287678729e-06	1.01284937645213e-05
AC079610.1	0.80482158165625	0.367200401493631	-1.1321013560025	2.26592153163656e-10	3.79619456601577e-09
AC092171.4	0.0727822783125	0.256262002347134	1.81596045874598	4.72544346138299e-05	0.000165120495807754
HS1BP3-IT1	0.044374494875	0.722077368207006	4.0243508232229	8.21009089533306e-15	5.02047058249617e-13
AP003390.1	0.55777861525	1.37042742649045	1.2968614007541	5.44544187496284e-07	3.35301845063181e-06
AL136162.1	0.21395986684375	0.458995425522293	1.10113956445855	2.25360257082114e-05	8.45446608624004e-05
